NPRODUCTO,CONCURSO,R1,R2,R3,R4,R5,FECHA,PRIMOS
60,25927,9,4,0,1,4,2020-11-02,0
60,25926,0,8,2,3,8,2020-11-02,2
60,25925,6,9,0,7,0,2020-11-02,1
60,25924,1,5,7,3,0,2020-11-02,3
60,25923,2,9,6,9,9,2020-11-02,1
60,25922,6,3,5,3,8,2020-11-01,3
60,25921,0,6,9,6,1,2020-11-01,0
60,25920,4,5,3,4,7,2020-11-01,3
60,25919,8,9,9,5,7,2020-11-01,2
60,25918,1,1,3,9,3,2020-11-01,2
60,25917,5,6,7,3,1,2020-10-31,3
60,25916,1,0,6,7,4,2020-10-31,1
60,25915,4,4,3,4,9,2020-10-31,1
60,25914,4,4,6,9,4,2020-10-31,0
60,25913,9,4,2,8,0,2020-10-31,1
60,25912,2,1,5,7,2,2020-10-30,4
60,25911,1,1,3,7,9,2020-10-30,2
60,25910,5,2,8,3,0,2020-10-30,3
60,25909,3,6,5,0,5,2020-10-30,3
60,25908,2,6,4,1,0,2020-10-30,1
60,25907,0,0,7,9,3,2020-10-29,2
60,25906,7,3,6,2,2,2020-10-29,4
60,25905,6,4,9,6,4,2020-10-29,0
60,25904,8,5,4,7,0,2020-10-29,2
60,25903,5,4,2,2,5,2020-10-29,4
60,25902,1,1,0,5,9,2020-10-28,1
60,25901,3,6,3,0,2,2020-10-28,3
60,25900,9,1,3,1,0,2020-10-28,1
60,25899,1,6,6,5,8,2020-10-28,1
60,25898,9,4,9,6,0,2020-10-28,0
60,25897,2,3,9,6,8,2020-10-27,2
60,25896,7,6,1,0,0,2020-10-27,1
60,25895,0,1,3,2,0,2020-10-27,2
60,25894,5,7,6,8,7,2020-10-27,3
60,25893,7,0,2,6,1,2020-10-27,2
60,25892,6,0,8,2,2,2020-10-26,2
60,25891,4,2,3,1,5,2020-10-26,3
60,25890,9,6,0,3,4,2020-10-26,1
60,25889,7,3,7,7,2,2020-10-26,5
60,25888,7,4,3,3,6,2020-10-26,3
60,25887,9,6,3,8,2,2020-10-25,2
60,25886,9,5,7,5,9,2020-10-25,3
60,25885,4,5,8,8,2,2020-10-25,2
60,25884,7,5,7,6,0,2020-10-25,3
60,25883,4,6,6,9,6,2020-10-25,0
60,25882,5,0,3,9,1,2020-10-24,2
60,25881,2,5,6,2,5,2020-10-24,4
60,25880,5,2,1,1,4,2020-10-24,2
60,25879,2,2,4,8,7,2020-10-24,3
60,25878,3,5,3,4,4,2020-10-24,3
60,25877,3,4,7,4,2,2020-10-23,3
60,25876,7,9,6,1,9,2020-10-23,1
60,25875,4,0,7,1,3,2020-10-23,2
60,25874,6,1,8,1,3,2020-10-23,1
60,25873,5,1,4,9,4,2020-10-23,1
60,25872,8,4,7,3,2,2020-10-22,3
60,25871,6,3,4,5,5,2020-10-22,3
60,25870,4,5,5,8,7,2020-10-22,3
60,25869,5,5,2,3,6,2020-10-22,4
60,25868,5,0,5,9,0,2020-10-22,2
60,25867,9,1,9,0,0,2020-10-21,0
60,25866,4,1,8,5,9,2020-10-21,1
60,25865,6,3,5,8,1,2020-10-21,2
60,25864,5,8,3,5,3,2020-10-21,4
